Longitude;Lattitude;nom;num_station;street;Mot_Directeur;No;Nrivoli;code_insee
43.59685254;1.452653988;VERDIER - GRAND ROND;65;ALL FORAIN FRANCOIS VERDIER;VERDIER (ALL FORAIN FRANCOIS VERDIER);2;3105553396;31555
43.59628579;1.447129091;OZENNE - NAZARETH;45;RUE THEODORE OZENNE;OZENNE (RUE THEODORE OZENNE);10;3105556448;31555
43.60541335;1.432417417;BRIENNE -  MANUFACTURE;84;ALL DE BRIENNE;BRIENNE (ALL DE BRIENNE);19T;3105551424;31555
43.60564293;1.428022792;SEJOURNE - CATALANS;82;AV PAUL SEJOURNE;SEJOURNE (AV PAUL SEJOURNE);1;3105556648;31555
43.61020929;1.435022975;DUPORTAL -  LASCROSSES;88;BD LASCROSSES;LASCROSSES (BD LASCROSSES);17T;3105555080;31555
43.60957206;1.449346515;PLACE SCHUMAN;36;PL ROBERT SCHUMAN;SCHUMAN (PL ROBERT SCHUMAN);5;3105557536;31555
43.60629172;1.448229153;STRASBOURG - JAURES;18;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);4;3105558328;31555
43.60959605;1.446087823;SAINT LAZARE;34;PETITE-RUE SAINT LAZARE;LAZARE (PETITE-RUE SAINT LAZARE);2;3105557876;31555
43.60516839;1.449397248;CARNOT  - PERI;19;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);62;3105555132;31555
43.5952289;1.445386576;NAZARETH -  LANGUEDOC;47;RUE DU LANGUEDOC;LANGUEDOC (RUE DU LANGUEDOC);12;3105555000;31555
43.59813198;1.431403328;PLACE INT ST CYPRIEN DARRE;78;PL INTERIEURE ST CYPRIEN;CYPRIEN (PL INTERIEURE ST CYPRIEN);14;3105554336;31555
43.59778078;1.431617351;PLACE INT SAINT CYPRIEN;77;PL INTERIEURE ST CYPRIEN;CYPRIEN (PL INTERIEURE ST CYPRIEN);2;3105554336;31555
43.60889619;1.45300702;JAURES  -  STALINGRAD;62;ALL JEAN JAURES;JAURES (ALL JEAN JAURES);71T;3105554600;31555
43.61046942;1.452756025;BONREPOS;61;BD DE BONREPOS;BONREPOS (BD DE BONREPOS);8T;3105551256;31555
43.613435;1.446412627;CONCORDE -  PRINTEMPS;59;RUE DE LA CONCORDE;CONCORDE (RUE DE LA CONCORDE);61;3105552256;31555
43.61105687;1.436667836;ESP COMPANS CAFFARELLI;89;ESP COMPANS CAFFARELLI;CAFFARELLI (ESP COMPANS CAFFARELLI);1;3105552251;31555
43.59264357;1.433910084;PLACE DU FER A CHEVAL;70;PL DU FER A CHEVAL;CHEVAL (PL DU FER A CHEVAL);5;3105553240;31555
43.58545391;1.428360557;CROIX DE PIERRE - DEODAT DE SEVERAC;129;BD DEODAT DE SEVERAC;SEVERAC (BD DEODAT DE SEVERAC);2;3105552600;31555
43.61229309;1.42883017;SEBASTOPOL -  RITAY;108;RUE DE SEBASTOPOL;SEBASTOPOL (RUE DE SEBASTOPOL);9;3105558204;31555
43.590594;1.44529342;ST MICHEL - STE CATHERINE;103;GRANDE-RUE SAINT MICHEL;MICHEL (GRANDE-RUE SAINT MICHEL);139;3105557916;31555
43.60104806;1.42034783;BRUNHES FONTAINES;137;BD JEAN BRUNHES;BRUNHES (BD JEAN BRUNHES);45;3105554524;31555
43.59550213;1.418439928;BARRIERE DE LOMBEZ;139;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);39;3105555308;31555
43.58291643;1.448596263;URSS RECOLLETS;157;AV DE L URSS;URSS (AV DE L URSS);16B;3105558660;31555
43.5808839;1.449160019;URSS ST THOMAS D AQUIN;158;AV DE L URSS;URSS (AV DE L URSS);55;3105558660;31555
43.57329745;1.452480141;THEATRE JULES JULIEN;160;AV DES ECOLES JULES JULIEN;JULIEN (AV DES ECOLES JULES JULIEN);21;3105552860;31555
43.57664263;1.454846228;RANGUEIL BEDOUCE;161;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);35;3105557268;31555
43.63986705;1.452285072;METRO BOURGES MAUNOURY;175;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);0;3105555789;31555
43.61695037;1.473620823;CASSAING PLANA;179;CHE CASSAING;CASSAING (CHE CASSAING);4;3105551744;31555
43.61222985;1.477547126;PLACE SOUPETARD;180;PL DE SOUPETARD;SOUPETARD (PL DE SOUPETARD);3;3105558300;31555
43.62724172;1.469294766;MICHOUN LIPPMAN;184;CHE MICHOUN;MICHOUN (CHE MICHOUN);70;3105555932;31555
43.62719534;1.465605434;ROUBICHOU ARLES;185;RUE ROUBICHOU;ROUBICHOU (RUE ROUBICHOU);30;3105557648;31555
43.58429324;1.427558109;MURET LAFAGE;188;AV DE MURET;MURET (AV DE MURET);121;3105556160;31555
43.59732304;1.458961126;LAROUSSE RIEUX;195;AV JEAN RIEUX;RIEUX (AV JEAN RIEUX);4;3105554652;31555
43.5790376;1.483629124;PLACE DE L ORMEAU;200;AV JEAN RIEUX;RIEUX (AV JEAN RIEUX);345;3105554652;31555
43.58685802;1.463184359;PL ROGER ARNAUD;204;PL ROGER ARNAUD;ARNAUD (PL ROGER ARNAUD);1;3105557568;31555
43.58335491;1.481948179;CHRIST ROI;207;RUE DE L AUDE;AUDE (RUE DE L AUDE);25;3105550616;31555
43.58608882;1.482940814;FIRMIS;210;CHE DE LA TERRASSE;TERRASSE (CHE DE LA TERRASSE);42;3105558436;31555
43.58347873;1.487765545;LE DORMEUR LA TERRASSE;211;RUE LE DORMEUR;DORMEUR (RUE LE DORMEUR);9;3105552746;31555
43.59622767;1.473454006;LAFILAIRE DELTOUR;198;CHE DE LAFILAIRE;LAFILAIRE (CHE DE LAFILAIRE);25;3105554932;31555
43.56920621;1.456349162;NARBONNE MIROUSE;232;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);64;3105556196;31555
43.62809957;1.451496913;LOUIN RAYNAL;234;RUE PIERRETTE LOUIN;LOUIN (RUE PIERRETTE LOUIN);4;3105556921;31555
43.579337;1.473082526;BUTTE HERBETTES;238;CHE DE LA BUTTE;BUTTE (CHE DE LA BUTTE);50;3105551468;31555
43.61700887;1.408388264;JOB BLAGNAC;240;RTE DE BLAGNAC;BLAGNAC (RTE DE BLAGNAC);112;3105551180;31555
43.64100536;1.448545966;BOUQUETINS ROSTAND;248;RUE EDMOND ROSTAND;ROSTAND (RUE EDMOND ROSTAND);139;3105552888;31555
43.59399237;1.410283182;LOMBEZ HIPPODROME;194;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);93;3105555308;31555
43.56498489;1.478176245;BELIN E.N.A.C.;223;AV DU COLONEL ROCHE;ROCHE (AV DU COLONEL ROCHE);4;3105552202;31555
43.63830406;1.465029666;MAIRIE CROIX DAURADE;249;RTE D ALBI;ALBI (RTE D ALBI);159;3105550124;31555
43.60070585;1.483583754;CHÂTEAU DE L'HERS;257;CHE DU CHATEAU DE L HERS;HERS (CHE DU CHATEAU DE L HERS);;;31555
43.58989072;1.37784159;PLACE SAUVEGRAIN;269;PL JACQUES SAUVEGRAIN;SAUVEGRAIN (PL JACQUES SAUVEGRAIN);;3105558180;31555
43.61933131;1.396988169;ANCELY;271;AV DES ARENES ROMAINES;ROMAINES (AV DES ARENES ROMAINES);110;3105550448;31555
43.61362416;1.401377045;ESPAGNO;279;AV DE CASSELARDIT;CASSELARDIT (AV DE CASSELARDIT);;3105551748;31555
43.60488031;1.445283932;LAFAYETTE;2;RUE LAFAYETTE;LAFAYETTE (RUE LAFAYETTE);21;3105554920;31555
43.60007786;1.449318018;PLACE SAINT ETIENNE;24;PL SAINT ETIENNE;ETIENNE (PL SAINT ETIENNE);14;3105557756;31555
43.60186812;1.440327774;PLACE DE LA DAURADE;11;PL DE LA DAURADE;DAURADE (PL DE LA DAURADE);2;3105552520;31555
43.59666739;1.436237104;LAGANNE - TEINTURIERS;74;RUE LAGANNE;LAGANNE (RUE LAGANNE);37;3105554948;31555
43.60923604;1.432017173;LASCROSSES -  LECLERC;87;BD LASCROSSES;LASCROSSES (BD LASCROSSES);47;3105555080;31555
43.60630526;1.438401391;PLACE ANATOLE FRANCE;30;PL ANATOLE FRANCE;FRANCE (PL ANATOLE FRANCE);40;3105550272;31555
43.60760386;1.441306001;MUSEE ST RAYMOND;32;RUE DES TROIS RENARDS;RENARDS (RUE DES TROIS RENARDS);8;3105558616;31555
43.60513577;1.442281029;LOIS;6;RUE DES LOIS;LOIS (RUE DES LOIS);5;3105555304;31555
43.62706244;1.434029456;BARRIERE DE PARIS;125;BRE DE PARIS;PARIS (BRE DE PARIS);0;310555B279;31555
43.59064379;1.453326054;DEMOISELLES - MISTRAL;115;ALL DES DEMOISELLES;DEMOISELLES (ALL DES DEMOISELLES);8;3105552584;31555
43.60349486;1.436082941;PLACE SAINT PIERRE;28;PL SAINT PIERRE;PIERRE (PL SAINT PIERRE);6;3105557948;31555
43.60037318;1.44490269;PLACE ESQUIROL;10;PL ETIENNE ESQUIROL;ESQUIROL (PL ETIENNE ESQUIROL);15;3105553084;31555
43.60800993;1.428602869;HERACLES - BEARNAIS;86;RUE DU BEARNAIS;BEARNAIS (RUE DU BEARNAIS);23;3105550948;31555
43.6099786;1.419612927;CHAPOU;119;ALL DE BRIENNE;BRIENNE (ALL DE BRIENNE);129;3105551424;31555
43.60842612;1.423862671;BRIENNE  -  PASSERELLE;106;ALL DE BRIENNE;BRIENNE (ALL DE BRIENNE);99;3105551424;31555
43.60620402;1.454910474;PERI -  MERCADIER;64;RUE GABRIEL PERI;PERI (RUE GABRIEL PERI);30;3105553660;31555
43.59751509;1.42871241;BILLIERES  -  CHAMPETRE;105;AV ETIENNE BILLIERES;BILLIERES (AV ETIENNE BILLIERES);12;3105553116;31555
43.596915;1.426219959;BILLIERES - POSTE;117;AV ETIENNE BILLIERES;BILLIERES (AV ETIENNE BILLIERES);39;3105553116;31555
43.61695976;1.454267427;ECOLE BONNEFOY;126;RUE DU FAUBOURG BONNEFOY;BONNEFOY (RUE DU FAUBOURG BONNEFOY);18;3105553204;31555
43.61901274;1.456804215;EGLISE BONNEFOY;134;ALL DE L EGLISE BONNEFOY;BONNEFOY (ALL DE L EGLISE BONNEFOY);8;3105552912;31555
43.62070816;1.435619083;MINIMES - MARCHE AU COCHONS;133;AV DES MINIMES;MINIMES (AV DES MINIMES);71;3105555956;31555
43.60091012;1.450724414;METZ  - REMPART ST ETIENNE;99;RUE DU REMPART ST ETIENNE;ETIENNE (RUE DU REMPART ST ETIENNE);5;3105557384;31555
43.61656507;1.44410648;COLLIGNON;148;AV FRANCOIS COLLIGNON;COLLIGNON (AV FRANCOIS COLLIGNON);0;3105552178;31555
43.58028326;1.454862784;ITALIE;162;AV D ITALIE;ITALIE (AV D ITALIE);49;3105554364;31555
43.5768658;1.460136169;AVIONS LIBELLULES;165;AV DES AVIONS;AVIONS (AV DES AVIONS);35;3105550732;31555
43.62310137;1.458721729;BONNEFOY LEMAITRE;135;RUE DU FAUBOURG BONNEFOY;BONNEFOY (RUE DU FAUBOURG BONNEFOY);183;3105553204;31555
43.63692063;1.452678055;BOURGES MAUNOURY MELAT;174;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);41;3105555789;31555
43.62857411;1.448199768;MAUNOURY PISAN;153;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);9;3105555789;31555
43.61744621;1.465484048;BAILLAUD BRUNAUD;177;RUE BENJAMIN BAILLAUD;BAILLAUD (RUE BENJAMIN BAILLAUD);64;3105551044;31555
43.60925339;1.479956382;PLANA GARNIER;181;RUE LOUIS PLANA;PLANA (RUE LOUIS PLANA);27;3105555396;31555
43.5816739;1.475853625;SAINT EXUPERIY ECOLE COURREGE;202;AV ANTOINE DE ST EXUPERY;EXUPERY (AV ANTOINE DE ST EXUPERY);165;3105557772;31555
43.58587852;1.475006686;COTTAGES RIEUX;205;AV DES COTTAGES;COTTAGES (AV DES COTTAGES);58;3105552340;31555
43.59405435;1.465090483;LEYGUE RIEUX;206;AV ARMAND LEYGUE;LEYGUE (AV ARMAND LEYGUE);20;3105550496;31555
43.60071008;1.467312323;PUJOL CHAUBET;213;AV CAMILLE PUJOL;PUJOL (AV CAMILLE PUJOL);129;3105551584;31555
43.60084009;1.473557439;CASTRES ACHIARY;214;AV DE CASTRES;CASTRES (AV DE CASTRES);48;3105551772;31555
43.56803843;1.464447484;METRO PHARMACIE;228;CHE DES MARAICHERS;MARAICHERS (CHE DES MARAICHERS);35;3105555576;31555
43.56073779;1.46303077;METRO UPS;227;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);118;3105556196;31555
43.59731315;1.403756451;TOEC ABBE LEMIRE;236;RUE DE L ABBE JULES LEMIRE;LEMIRE (RUE DE L ABBE JULES LEMIRE);1;3105554821;31555
43.6363599;1.438998301;LAUNAGUET AUDIBERT;247;RTE DE LAUNAGUET;LAUNAGUET (RTE DE LAUNAGUET);112;3105555096;31555
43.5964032;1.456603772;PORT SAINT SAUVEUR;15;PORT SAINT SAUVEUR;SAUVEUR (PORT SAINT SAUVEUR);22;3105558066;31555
43.5664783;1.475268869;BELIN SUP AERO;224;AV EDOUARD BELIN;BELIN (AV EDOUARD BELIN);10;3105552894;31555
43.56229036;1.480958521;BELIN C.N.R.S.;237;AV EDOUARD BELIN;BELIN (AV EDOUARD BELIN);16;3105552894;31555
43.55723349;1.465265009;NARBONNE IUFM;231;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);217;3105556196;31555
43.64749356;1.432640372;PLACE RICHÉ;259;PL PAUL RICHE;RICHE (PL PAUL RICHE);;3105556642;31555
43.64062799;1.44024552;VAN DYCK;261;RUE ANTOINE VAN DYCK;DYCK (RUE ANTOINE VAN DYCK);;;31555
43.57873624;1.446747512;NIEL;281;RUE SAINT ROCH;ROCH (RUE SAINT ROCH);;;31555
43.56802806;1.413348222;BORDELONGUE;265;PAS DU CANAL DE BORDELONGUE;BORDELONGUE (PAS DU CANAL DE BORDELONGUE);;;31555
43.56500497;1.410398929;LAFOURGUETTE;264;PL DES GLIERES;GLIERES (PL DES GLIERES);;;31555
43.58145095;1.388783799;PLACE DES PRADETTES;275;PL DES PRADETTES;PRADETTES (PL DES PRADETTES);;;31555
43.57915719;1.392606073;IZAR;273;RPT LOUIS IZAR;IZAR (RPT LOUIS IZAR);;;31555
43.58444228;1.398714602;PLACE JEAN BAYLET;263;AV JEAN BAYLET;BAYLET (AV JEAN BAYLET);;;31555
43.62400396;1.427827515;TRENTIN;270;BD SILVIO TRENTIN;TRENTIN (BD SILVIO TRENTIN);;3105558356;31555
43.60130698;1.452080304;MONUMENT AUX COMBATTANTS;23;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);6;3105555132;31555
43.59952262;1.445472505;PLACE ROUAIX;25;RUE DES TOURNEURS;TOURNEURS (RUE DES TOURNEURS);1;3105558536;31555
43.60326965;1.445508084;POMME;3;RUE DE LA POMME;POMME (RUE DE LA POMME);62;3105556988;31555
43.59645708;1.450928343;JARDIN ROYAL;66;RUE DU HUIT MAI 1945;MAI 1945 (RUE DU HUIT MAI 1945);0;3105554272;31555
43.59266083;1.443147207;FEUGA;69;ALL PAUL FEUGA;FEUGA (ALL PAUL FEUGA);11;3105556620;31555
43.61498875;1.432913709;HOTEL DE POLICE;123;RUE DE CHAUSSAS;CHAUSSAS (RUE DE CHAUSSAS);1;3105551996;31555
43.60687555;1.430720633;LECLERC -  BARCELONE;85;BD DU MARECHAL LECLERC;LECLERC (BD DU MARECHAL LECLERC);2;3105555656;31555
43.6112623;1.438073489;LASCROSSES -  PLACE ARNAUD BERNARD;90;BD LASCROSSES;LASCROSSES (BD LASCROSSES);3B;3105555080;31555
43.60744776;1.454253165;PISCINE LEO LAGRANGE;63;RUE DES SEPT TROUBADOURS;TROUBADOURS (RUE DES SEPT TROUBADOURS);54;3105558224;31555
43.60868649;1.43944809;CHAINE;54;RUE DE LA CHAINE;CHAINE (RUE DE LA CHAINE);10;3105551844;31555
43.60739003;1.439462417;SALENQUES;31;RUE DES SALENQUES;SALENQUES (RUE DES SALENQUES);7;3105558100;31555
43.60869817;1.436933432;PLACE SAINT JULIEN;53;PL SAINT JULIEN;JULIEN (PL SAINT JULIEN);0;3105557864;31555
43.61156932;1.439667331;ARCOLE -  BALANCE;91;BD D ARCOLE;ARCOLE (BD D ARCOLE);48;3105550428;31555
43.60904852;1.442693508;SAINT SERNIN  -  MERLY;56;RUE MERLY;MERLY (RUE MERLY);1;3105555896;31555
43.61528677;1.442877931;MINIMES -  PASSERELLE;111;BD DES MINIMES;MINIMES (BD DES MINIMES);38B;3105555960;31555
43.58763878;1.459849505;PONT DES DEMOISELLES;98;ALL DES DEMOISELLES;DEMOISELLES (ALL DES DEMOISELLES);80;3105552584;31555
43.60904079;1.441099671;SAINT SERNIN -  GATIEN ARNOULT;55;RUE GATIEN ARNOULT;ARNOULT (RUE GATIEN ARNOULT);2;3105553780;31555
43.6032145;1.44812935;ESPACE SAINT GEORGES;8;RUE PAUL VIDAL;VIDAL (RUE PAUL VIDAL);19;3105556660;31555
43.6029216;1.451726991;CARNOT ROLAND;22;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);24;3105555132;31555
43.59783992;1.451654889;PALAIS NIEL;44;ALL FORAIN FRANCOIS VERDIER;VERDIER (ALL FORAIN FRANCOIS VERDIER);1;3105553396;31555
43.59436105;1.440962799;GARONNETTE;50;AV MAURICE HAURIOU;HAURIOU (AV MAURICE HAURIOU);1;3105555804;31555
43.60460278;1.440425085;PARGAMINIERES;12;RUE PARGAMINIERES;PARGAMINIERES (RUE PARGAMINIERES);66;3105556540;31555
43.59513943;1.432545371;FITTE -  CUGNAUX;72;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);23;3105551920;31555
43.60104748;1.434133557;PLACE LANGE;79;PL LANGE;LANGE (PL LANGE);1;3105554996;31555
43.59662271;1.455607575;SABATIER - PORT ST SAUVEUR;100;ALL PAUL SABATIER;SABATIER (ALL PAUL SABATIER);16;3105556644;31555
43.60456723;1.453717223;COLOMBETTE;40;RUE DE LA COLOMBETTE;COLOMBETTE (RUE DE LA COLOMBETTE);41;3105552192;31555
43.61264645;1.448457407;ROQUELAINE;60;PL ROQUELAINE;ROQUELAINE (PL ROQUELAINE);32;3105557600;31555
43.61068213;1.443620841;CONCORDE -  ARCOLE;58;RUE DE LA CONCORDE;CONCORDE (RUE DE LA CONCORDE);4;3105552256;31555
43.61345897;1.430243232;EMBOUCHURE -  HAEDENS;122;BD DE L EMBOUCHURE;EMBOUCHURE (BD DE L EMBOUCHURE);57;3105552952;31555
43.58575681;1.447433917;MAISON D'ARRET ST MICHEL;128;GRANDE-RUE SAINT MICHEL;MICHEL (GRANDE-RUE SAINT MICHEL);18B;3105557916;31555
43.59244417;1.457928095;BD MONTPLAISIR -  CANAL;114;BD MONPLAISIR;MONPLAISIR (BD MONPLAISIR);8;3105556016;31555
43.58818226;1.446443101;ST MICHEL -  NOTRE DAME;116;GRANDE-RUE SAINT MICHEL;MICHEL (GRANDE-RUE SAINT MICHEL);50;3105557916;31555
43.58862637;1.450652746;PLACE DU BUSCA;118;PL DU BUSCA;BUSCA (PL DU BUSCA);2;3105551464;31555
43.58542149;1.453015551;PLACE RUSSEL -  BRANLY;112;ALL EDOUARD BRANLY;BRANLY (ALL EDOUARD BRANLY);47;3105552896;31555
43.58970924;1.455951007;DEMOISELLES - BEGUE;127;RUE BEGUE DAVID;DAVID (RUE BEGUE DAVID);1;3105550980;31555
43.59351511;1.429991246;SAINTE LUCIE;37;RUE SAINTE LUCIE;LUCIE (RUE SAINTE LUCIE);38;3105558040;31555
43.61597264;1.421611295;SUISSE LAUSANNE;144;BD DE SUISSE;SUISSE (BD DE SUISSE);62;3105558336;31555
43.62413332;1.438482395;THEATRE DES MAZADES;152;AV DES MAZADES;MAZADES (AV DES MAZADES);10;3105555848;31555
43.5837633;1.443342135;RECOLLETS;155;BD DES RECOLLETS;RECOLLETS (BD DES RECOLLETS);34;3105557344;31555
43.5786057;1.450260918;JULES JULIEN DEVIC;159;AV JULES JULIEN;JULIEN (AV JULES JULIEN);96;3105554816;31555
43.62658653;1.458774247;BILA;168;PL BILA;BILA (PL BILA);1;3105551168;31555
43.64287198;1.461104103;RPT POINT LAFFORGUE;172;RPT DE L ABBE G. LAFFORGUE;LAFFORGUE (RPT DE L ABBE G. LAFFORGUE);0;3105550011;31555
43.60596153;1.481748495;CHAUBET;182;AV JEAN CHAUBET;CHAUBET (AV JEAN CHAUBET);158;3105554540;31555
43.59799524;1.420167025;BARRIERE DE BAYONNE;138;BRE DE BAYONNE;BAYONNE (BRE DE BAYONNE);2;3105550924;31555
43.58457642;1.415706813;DESBALS MONT DORE;187;RUE HENRI DESBALS;DESBALS (RUE HENRI DESBALS);187;3105554140;31555
43.58777711;1.409555734;ST SIMON PRADO;192;RTE DE SAINT SIMON;SIMON (RTE DE SAINT SIMON);355;3105557988;31555
43.59488849;1.415082822;LOMBEZ PETITE VITESSE;193;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);59;3105555308;31555
43.64107093;1.466476044;ALBI PELET;171;RTE D ALBI;ALBI (RTE D ALBI);191;3105550124;31555
43.6152178;1.465458913;CRETES CHAUMIERES;212;RUE DE LA CHAUMIERE;CHAUMIERE (RUE DE LA CHAUMIERE);0;3105551989;31555
43.57457116;1.402137041;TABAR UNIVERSITE;220;RUE UNIVERSITE DU MIRAIL;MIRAIL (RUE UNIVERSITE DU MIRAIL);3;3105558666;31555
43.57149046;1.462698767;IUT RANGUEIL;229;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);129;3105557268;31555
43.63558441;1.464267012;CROIX DAURADE BIBLIOTHEQUE;170;CHE DE NICOL;NICOL (CHE DE NICOL);164;3105556262;31555
43.57510862;1.424238269;ESPAGNE CHARPENTIER;241;RTE D ESPAGNE;ESPAGNE (RTE D ESPAGNE);57;3105553064;31555
43.57391975;1.483922568;GONIN;267;RUE CLAUDE GONIN;GONIN (RUE CLAUDE GONIN);;;31555
43.5736944;1.413988102;TOURAINE;266;RUE DE LA TOURAINE;TOURAINE (RUE DE LA TOURAINE);;;31555
43.60656215;1.414147613;WAGNER;282;BD RICHARD WAGNER;WAGNER (BD RICHARD WAGNER);;3105557468;31555
43.5837779;1.406415312;PLACE CAMPAN;254;PL LOUIS CAMPAN;CAMPAN (PL LOUIS CAMPAN);;;31555
43.60163093;1.456081339;DAURIAC - ESCANDE;42;BD PR LEOPOLD ESCANDE;ESCANDE (BD PR LEOPOLD ESCANDE);3;3105557151;31555
43.60407912;1.450153688;CARNOT - LABEDA;21;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);63;3105555132;31555
43.59989331;1.429467488;JARDIN RAYMOND VI;81;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);76;3105551920;31555
43.60507826;1.437314133;VALADE;29;RUE VALADE;VALADE (RUE VALADE);31;3105558676;31555
43.61039681;1.443084503;MERLY -  ARCOLE;57;RUE MERLY;MERLY (RUE MERLY);15;3105555896;31555
43.6046781;1.449528282;CARNOT -  TROIS JOURNEES;20;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);69;3105555132;31555
43.59741756;1.445277931;PLACE DES CARMES;46;PL DES CARMES;CARMES (PL DES CARMES);37;3105551708;31555
43.60785839;1.446666243;STRASBOURG  -  BAYARD;16;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);32;3105558328;31555
43.59631476;1.43214374;FITTE - TEINTURIERS;73;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);40;3105551920;31555
